docDOI,docSection,docAuthor,docTitle,docAcceptDate,docPaymentDate,docPublishDate,docPrintIssue,docPrintNotes,docNumPagesPrint,docEditor,docCoordinator,docProofReader,docSE1,docSE2,docEnteredDate,docCopyEditBeginDate,docCopyEditCompleteDate,docSendSEDate,docReturnSEDate,docSendAuthorDate,docReturnAuthorDate,docFinalizeDate,docOpenAccess,docTranslation,docAdConflicts,docCollectionCode1
161156,Research,Muraca,Perinatal and maternal morbidity and mortality after attempted operative vaginal delivery at midpelvic station,27-Jan-17,31-Jan-17,5-Jun-17,September 2017,161156-syn to SE1 Aug. 2; back Aug. 4. To FT Aug. 4; to SE2 Aug. 4. From SE2 8 Aug (VB). To PR 8 Aug. 8 Aug: F,9,Lea,Erin D,,KP,DK,,22-Mar-17,21-Apr-17,21-Apr-17,28-Apr-17,2-May-17,8-May-17,15-May-17,TRUE,TRUE,"Obstetrics, gynecology, pregnancy, cesareans, vaginal delivery","415, 413, 202, 159, 163"
160126,Research,Taipale,Risk of pneumonia associated with incident benzodiazepine use among community-dwelling adults with Alzheimer disease,29-Dec-16,30-Dec-16,10-Apr-17,October 2017,160126-syn to SE1 Sept. 12. To FT Sept. 15. To SE2 Sept. 15; to PR Sept. 15. F'd Sept. 18,11,Lea,Olivier,Erin,MBS,DK,9-Jan-17,13-Jan-17,31-Jan-17,31-Jan-17,3-Feb-17,3-Feb-17,7-Feb-17,13-Feb-17,TRUE,TRUE,"Alzheimer disease, benzodiazepines, Z-drugs, infectious disease, pneumonia","35, 414, 271, 201, 154, 157"
160744,Research,Udell,Fertility Therapy Failure and Subsequent Adverse Cardiovascular Events,29-Nov-16,29-Nov-16,13-Mar-17,July 2017,,7,Kate S,Olivier,,KF,DK,30-Nov-16,6-Dec-16,20-Dec-16,20-Dec-16,4-Jan-17,4-Jan-17,13-Jan-17,20-Jan-17,TRUE,TRUE,"fertility therapy, pregnancy, heart disease, stroke","202, 159, 151"
160823,Research,Tu ,Regional variations in ambulatory care and incidence of cardiovascular events,29-Dec-16,29-Dec-16,3-Apr-17,August 2017,,,Kate S,Erin D,,MBS,KP,30-Dec-16,12-Jan-17,18-Jan-17,18-Jan-17,23-Jan-17,23-Jan-17,27-Jan-17,1-Feb-17,TRUE,TRUE,"primary care, heart disease, lipid-lowering drugs, hypertension, diabetes","151, 383, 105, 10"
170317,Research,Guertin,"Age and sex-specific Canadian utility norms, based on the 2013/14 Canadian Community Health Survey",24-Aug-17,29-Aug-17,12-Feb-18,,,7,Peggy,Olivier,Olivier,KP,DK,30-Aug-17,7-Dec-17,13-Dec-17,13-Dec-17,12-Jan-18,12-Jan-18,15-Jan-18,18-Jan-18,TRUE,TRUE,"novel health technologies, cost-utility analysies, health-related quality of life","113,171, 10"
180177,Research,Sun,"Sex Differences in Heart Failure Outcomes in an Ambulatory, Population-Based Cohort from 2009-2013",27-Apr-18,29-Apr-18,16-Jul-18,,,8,,Erin,,,,30-Apr-18,,,,,,,,TRUE,TRUE,,
170377,Research,Eisenberg,Smoking Abstinence 12 Months after Acute Coronary Syndrome: Follow-up from a Randomized Controlled Trial of Varenicline in Hospitalized Patients,22-Nov-17,28-Nov-17,26-Mar-18,,,8,Kate,Erin D,Olivier,MS,KP,28-Nov-17,9-Feb-18,22-Feb-18,22-Feb-18,2-Mar-18,5-Mar-18,9-Mar-18,13-Mar-18,TRUE,TRUE,"smoking cessation (varenicline, bupropion), acute coronary syndrome","7, 15, 151, 144, 201"
170231,Research,Hedden,Patterns of physician retirement and pre-retirement activity: a population-based cohort study,27-Jul-17,27-Jul-17,11-Dec-17,January 2018,Put in print with Medsoc 170841 (KP). 170231-syn to SE Dec. 12; to PR Dec. 12; F'd Dec. 12Put in print with Medsoc 170841 (KP). 170231-syn to SE Dec. 12; to PR Dec. 12; F'd Dec. 12,7,Peggy,Olivier,Erin,KF,DK,31-Jul-17,27-Oct-17,1-Nov-17,1-Nov-17,3-Nov-17,3-Nov-17,6-Nov-17,8-Nov-17,TRUE,TRUE,"physicians' practices, retirement, rural practice, health human resources","10, 168"
170871,Research,Levesque,Quadrivalent human papillomavirus vaccine in teenage girls and the risk of autoimmune disorders: The Ontario Grade 8 HPV Vaccine Cohort Study,08-Jan-17,27-Feb-18,28-May-18,,flagged for commentary,nine,Kate,Erin D,Erin,KP,DK,10-Jan-18,23-Mar-18,29-Mar-18,29-Mar-18,9-Apr-18,12-Apr-18,16-Apr-18,20-Apr-18,TRUE,TRUE,"HPV vaccines, autoimmune disorders, teenaged girls","433, 170"
170385,Research,McAlister,The effect of provider affiliation with a primary care network on emergency department visits and hospital admissions ,20-Oct-17,23-Oct-17,12-Mar-18,,,9,Vicky,Olivier,Erin,,,27-Oct-17,6-Feb-18,8-Feb-18,8-Feb-18,12-Feb-18,14-Feb-18,16-Feb-18,23-Feb-18,TRUE,TRUE,"Health services, health care, hospital admissions, primary care networks, Alberta, Ontario","10, 383, 165, 456"
