docDOI,docSection,docDepartment,docAuthor,docTitle,docFocusArea,docAcceptDate,docPaymentDate,docInvoiceNum,docOnlineIssue,docPrintIssue,docNotes,docMultiMedia1,docRelatedMaterial,docNumPages,docEditor,docCoordinator,docProofReader,docSE1,docSE2,docOutstandingMaterial,docEnteredDate,docCopyEditBeginDate,docCopyeditCompleteDate,docSendSEDate,docReturnSEDate,docSendAuthorDate,docReturnAuthorDate,docSendFineTune,docReturnFineTune,docSendProofRead,docReturnProofRead,docFinalizeDate,docNumAppendices,docOpenAccess,docShortTitle,docWebBlurb,docTranslation,docAddConflicts,docCollectionCode1,docProfessionalDev,docPodcastEmbargoLink,docPodcastPermLink,docPodcastEmbedCode,docVideoEmbedCode,docVideoLink,docURL,docHashTags,docSocialSummary,"Accept to payment, d2","Payment to rough layout, d","Payment to copyedit, d","Payment to publication, d","Accept to rough layout, d","Rough layout to copyedit, d","Copyedit, d",SE12,"Proof with author, d","Author alterations, d","Fine-tune, d","Proofreading, d","Accept to publication, d","Accept to print, d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150999,Analysis,Analysis,de Groot,Methodologic approaches to evaluating new highly sensitive diagnostic tests: avoiding overdiagnosis,,22-Apr-16,,,16-Jan-17,April 2017,,,,6,Kate B,Erin D,Erin/Olivier,KP,—,none,26-Apr-16,17-Jun-16,22-Jun-16,22-Jun-16,23-Jun-16,23-Jun-16,27-Jun-16,27-Jun-16,28-Jun-16,,,29-Jun-16,0,No,Evaluating new diagnostic tests,More sensitive diagnostic tests can contribute to overdiagnosis; evaluate via test–treatment trials,No,diagnostic technologies,"163, 171, 105 ",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.150999,#overdiagnosis,"The development of ever-more-sensitive diagnostic technologies that challenge existing disease definitions is a major contributor to the rising problem of overdiagnosis and subsequent overtreatment. We should evaluate new diagnostic tests not through regular methods of assessing diagnostic accuracy but by evaluating disease outcomes through test–treatment trials, argue de Groot and colleagues. (sub req) www.cmaj.ca/lookup/doi/10.1503/cmaj.150999",,,,,4,52,5,1,4,0,1,,269,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160267,Analysis,Analysis,Cahan,Improving precision medicine using individual patient data from trials,,17-Jun-16,,,6-Feb-17,June 2017,,,,4,Lea,Olivier,,KP,—,,21-Jun-16,27-Jul-16,10-Aug-16,10-Aug-16,12-Aug-16,12-Aug-16,15-Aug-16,15-Aug-16,17-Aug-16,,,18-Aug-16,1,No,Maximizing use of IPD from trials,Applying autromated similarity-based  matching to clnical trial data may enhance precision medicine,No,"patient matching,clinical trials, research, electronic health records, patient data, informatics tools","167, 346, 383",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.160267,,,,,,,4,36,14,2,3,0,2,,234,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170380,Analysis,Analysis,Denburg,Public drug policy for children in Canada,,21-Jun-17,,,31-Jul-17,, To KP to review AU reply July 4; replied july 4,,,5,Lea,Olivier,Olivier,KP,,none,26-Jun-17,27-Jun-17,28-Jun-17,29-Jun-17,29-Jun-17,29-Jun-17,30-Jun-17,4-Jul-17,4-Jul-17,4-Jul-17,5-Jul-17,5-Jul-17,0,No,Canadian drug policy for children,"HTA frameworks need better ways to consider evidence, economics and ethics relevant to child health.",No,"pediatrics, drug policy and regulation, drug companies","165, 72, 186, 113",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.170380, @AvramDenburg,"In many Canadian provinces, public drug benefit programs do not serve the needs of children well. Health technology assessment frameworks need to better incorporate the unique evidentiary, economic, and ethical dimensions of child health. Canada needs a  child-focused  national  policy  framework  for  drug  funding  to entrench reliable and equitable processes for evaluating child health technologies.",,,,,5,1,1,0,1,4,0,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170107,Analysis,Analysis,McAlister,Finding the right balance between precision medicine and personalized care,,30-Jun-17,,,21-Aug-17,November 2017,,,,3,Lea,Erin D,Olivier,KP,,none,19-Jul-17,21-Jul-17,24-Jul-17,24-Jul-17,25-Jul-17,25-Jul-17,26-Jul-17,26-Jul-17,26-Jul-17,26-Jul-17,26-Jul-17,26-Jul-17,0,No,Personalized versus precision medicine,"Despite impressive advances in omics-based medicine, person-centred care remains important.",No,"personalized medicine, precision medicine, clinical assessment, evidence-based medicine","488, 165, 180, 383",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.170107,,"Although they are often conflated by some commentators, precision medicine and personalized care are not synonymous.  Personalized care is the careful tailoring of investigations and therapies to individual patients based on evidence, consideration of circumstances and clinical skill and has long been the hallmark of good clinical care.  Precision Medicine relies on increasingly detailed molecular characterization of disease states using the biologic omics platforms (genomics, proteomics, metabolomics, etc) to better individualize diagnostics, prognostics, and therapeutics based on each patient's unique genetic and physiologic characteristics.  While there have been impressive advances in precision medicine in the past decade (particularly in the field of oncology), the potential impacts of precision medicine may be overestimated.  Better population health requires advances not only in omics-based medicine, but also in traditional elements of personalized care.  ",,,,,19,2,3,1,1,0,0,0,52,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170726,Analysis,Analysis,Morgan,Evaluating the effects of Quebec’s public-private drug insurance system,Health Services,14-Aug-17,,,10-Oct-17,,Doesn't need to go in print,None,,5,Vicky,Olivier,Olivier,KP,,none,15-Aug-17,12-Sep-17,14-Sep-17,14-Sep-17,14-Sep-17,15-Sep-17,19-Sep-17,20-Sep-17,25-Sep-17,25-Sep-17,25-Sep-17,25-Sep-17,0,,Drug insurance in Quebec,The province’s public-private system has increased employer and household drug expenditures,,"Drug costs, Quebec, Health Canada","456, 113, 165, 465",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.170726,"@SteveUBC, @MA_Gagnon, @matcharbonneau, @Vadeboncoeur_A","Since 1997, Quebec’s mixed private-public system of drug coverage has had mixed policy results. Under the system, all eligible workers in Quebec are required to have private insurance for prescription drug costs and all other residents are required to purchase drug coverage from the provincial government. The system increased access to insurance for previously uninsured working-age populations. It thereby increased access to medicines for working-age residents of Quebec. However, access to medicines in Quebec is still lower than in comparable high-income countries with universal systems of health and pharmaceutical coverage. Quebec’s private-public system of drug insurance brought with it new and steadily increasing deductibles, co-insurance rates, and premiums. These charges had negative consequences on access to medicine among beneficiaries of Quebec’s formerly more-comprehensive public plans: most notably among Quebecers aged 65 and older. The premiums, deductibles, and co-insurance under private and public drug plans in Quebec represent a greater proportion of income for lower-income households than for high-income ones. This makes the regime a regressive means of financing prescription drug costs in the province. Despite hopes to the contrary, Quebec’s regime increased taxpayer-financed drug expenditures and significantly increased employer- and household-financed expenditures. If pharmaceutical costs in Quebec had grown at the same rate as they did in the rest of Canada rate since 1997, Quebecers would be spending $1.7 billion less per year on prescription drugs than they do today. If costs in Quebec had fallen to levels observed in countries with universal, single-payer drug coverage systems, Quebecers would be saving billions more each year.",,,,,1,28,2,0,4,1,5,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170738,Analysis,Analysis,Bartram,Making the most of the federal investment of $5 billion for mental health,Mental health,28-Sep-17,,,6-Nov-17,December 2017,,None,,4,Lea,Erin D,Erin,KP,,none,3-Oct-17,16-Oct-17,17-Oct-17,17-Oct-17,18-Oct-17,18-Oct-17,23-Oct-17,23-Oct-17,23-Oct-17,23-Oct-17,23-Oct-17,23-Oct-17,0,No,How to spend $5 billion wisely,"To make the most of the federal mental health transfer, we will need to adopt a spirit of learning.
",No,"Mental health care services and coverage, Canadian government, funding","539, 456, 465, 165, 113",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.170738, @mary_mbartram  @CarletonSPPA,"What will it take to make the most of the new $5 billion for mental health? Without a close watch on where the money goes, whether it is spent wisely, and what difference it makes for Canadians, this opportunity could slip through our fingers. ",,,,,5,13,1,1,5,0,0,0,39,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170393,Analysis,Analysis,Pendharkar,Testing and treatment for obstructive sleep apnea in Canada: funding models must change,Health Services,18-Sep-17,,,11-Dec-17,January 2018,publish after linked 170296-rev. 25 Oct: KP sent for SE2 review,None,170296-rev,4,Vicky,Olivier,,DK,,none,19-Sep-17,21-Oct-17,24-Oct-17,24-Oct-17,30-Oct-17,1-Nov-17,5-Nov-17,8-Nov-17,8-Nov-17,8-Nov-17,9-Nov-17,15-Nov-17,0,No,Funding the diagnosis of OSA in Canada,Current testing and treatment models prevent many patients from benefiting from cost-effective care,No,"obstructive sleep apnea, CPAP, polysomnography, oral applicances","533, 165, 383, 50, 157, 10 ",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.170393," #sleep
#SleepApnea
#CDNhealth
#healthcare
","Obstructive sleep apnea is very common, but there is inadequate public funding for testing and treatment. The current system for sleep apnea care is not equitable, accessible or patient-centred, and has negative consequences for Canadians.",,,,,1,32,3,6,4,3,0,1,84,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170691,Analysis,Analysis,Thombs,Addressing overestimation of the prevalence of depression based on self-report screening questionnaires,Mental health,15-Sep-17,,,15-Jan-18,February 2018,,None,,6,Lea,Erin D,Erin D,KP,,none,,13-Nov-17,24-Nov-17,24-Nov-17,28-Nov-17,28-Nov-17,29-Nov-17,29-Nov-17,30-Nov-17,30-Nov-17,30-Nov-17,30-Nov-17,3,No,Overestimation of depression prevalence,Studies that use screening instruments to identify cases may estimate depression burden too high.,No,"Mental health, psychiatry, screening questionnaires, depression","539, 105, 161, 163, 10",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.170691," For Twitter, please use #mcgillu and #mcgillmediau hashtags. The twiiter handles for my hospital and McGill are @CIUSSS_COMTL and @McGillMed. 
For Facebook, please use CIUSSSCentreOuest.","Because of depression’s high burden, it is crucial to accurately estimate prevalence. Conducting diagnostic interviews to properly classify depression, however, is expensive. Thus, researchers increasingly rely upon self-report screening questionnaires, which are completed independently by research participants, to estimate depression prevalence in different groups, such as among patients with a particular medical disease. Our analysis found that most recent publications on depression prevalence used screening questionnaires rather than diagnostic interviews.
Screening questionnaires, however, are not designed to definitively determine whether depression is present. Rather, they are designed to cast a wide net and identify a large pool of people who may have depression, so that healthcare professionals can follow-up. Our analysis demonstrated that when researchers take the shortcut of using screening questionnaires, instead of diagnostic interviews, to estimate depression prevalence, prevalence is substantially exaggerated. In one example, depression prevalence from 183 studies of medical students was 27% based on screening questionnaires, but only 9% based on a diagnostic interview, similar to the rate of young adults in the general population.
Our analysis also demonstrated that screening questionnaires exaggerate prevalence most when true prevalence is low. Prevalence is exaggerated by 2-3 times when true prevalence is under 10%, but only very minimally when true prevalence is high (e.g., over 20%). Thus, screening questionnaires blur distinctions between low- and high-prevalence groups.
Researchers must use diagnostic interviews to accurately estimate prevalence. A two -stage estimation method that combines screening questionnaires and diagnostic interviews can reduce resource requirements and generate valid prevalence estimates.",,,,,,,11,4,1,0,1,0,122,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170846,Analysis,Analysis,Brunham,"The Genome, Microbiome and Evolutionary Medicine",,31-Oct-17,,,12-Feb-18,May 2018,Should go in print if possible.,,,5,Lea,Erin D,Erin D,KP,,none,3-Nov-17,19-Dec-17,20-Dec-17,20-Dec-17,4-Jan-18,5-Jan-18,8-Jan-18,8-Jan-18,11-Jan-18,12-Jan-18,15-Jan-18,15-Jan-18,0,No,Evolutionary medicine,Clinical practice based on an evolutionary understanding of the human genome and microbiome is the future.,No,"Genome, microbiome, genetics, molecular medicine, evolutionary medicine, infectious diseases, knowledge translation","488, 180, 154, 169",yes,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.170846,"#evolutionarymedicineandgenomics
Twitter handle is @CDCofBC 
UBC department of medicine's is @UBCmedicine and Facebook is @UBCmed",Studies of the human genome and microbiome provide strong evidence for evolutionary medicine. Evolutionary medicine’s classification of disease causation provides a unifying framework. An expanding range of medical disciplines is using the principles of evolutionary medicine and data from genomics to guide the practice of medicine. All areas of medicine are likely to soon adopt this approach to practice. This view of medicine provides a compelling framework for life long learning.,,,,,3,46,1,15,3,0,3,3,104,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170601,Analysis,Analysis,Ackery,“Is there a doctor on board?”: Practical recommendations for managing in-flight medical emergencies,,10-Jan-18,,,26-Feb-18,March 2018,Kim requested Feb 26. Appendix is YouTube video on St. Mike's YouTube page,Video,,6,Vicky,Erin D,Erin,KP,,fig provenance (from authors),11-Jan-18,29-Jan-18,31-Jan-18,31-Jan-18,6-Feb-18,6-Feb-18,7-Feb-18,7-Feb-18,7-Feb-18,8-Feb-18,8-Feb-18,13-Feb-18,1,No,Managing in-flight medical emergencies,The environment aboard a commercial aircraft is challenging and medical resources may be unfamiliar,No,"Airlines, flights, emergencies, in-flight, medical kits","2, 213, 383",,,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/h5iKxHO5oVY"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://youtu.be/h5iKxHO5oVY,www.cmaj.ca/lookup/doi/10.1503/cmaj.170601,"#Docsinflight
Kim Barnhardt has been working with St. Michael's Hospital PR people to suggest some tweets
Should also tweet to WestJet and Air Canada. Also Faculty of Medicine Department of Medicine.
","This article gives practical recommendations surrounding onboard medical equipment, airline procedures and environmental challenges to better prepare healthcare professionals when assisting passengers during in-flight medical emergencies.",,,,,1,18,2,6,1,0,0,0,47,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
